id|number|message|rssi|received
1|1000003|Kirkbright|92.5|0
2|1000004|Robelet|91.6|1
3|1000005|Meni|12.3|0
4|1000002|Crossman|83.7|1
5|1000004|Matten|98.9|0
6|1000002|Whate|33.2|0
7|1000005|Oughtright|43.1|0
8|1000003|Cosser|66.1|0
9|1000000|Mynott|70.2|0
10|1000000|Riolfo|49.4|1
11|1000000|Archibald|79.9|0
12|1000003|Sawood|23.5|1
13|1000004|Baszkiewicz|81.6|1
14|1000000|Graben|36.7|1
15|1000001|Abberley|40.6|1
16|1000005|Scarce|96.1|0
17|1000005|Feye|28.7|1
18|1000004|Bathow|55.7|0
19|1000004|Giraldon|95.3|0
20|1000000|Menco|17.3|1
21|1000004|Oherlihy|72.1|1
22|1000000|Sally|35.5|0
23|1000000|Harby|55.3|1
24|1000005|Longbone|18.1|0
25|1000002|Hendrichs|90.7|1
26|1000001|Gon|69.7|0
27|1000002|Santoro|15.3|0
28|1000004|Rushsorth|96.3|1
29|1000000|Smelley|29.6|1
30|1000001|Celier|63.7|0
31|1000002|Le Conte|22.4|1
32|1000004|Deacon|24.3|0
33|1000005|Hazeltine|10.8|0
34|1000005|Seemmonds|60.8|1
35|1000003|Vaudre|93.1|1
36|1000004|Gilders|85.2|0
37|1000004|Dungey|14.1|1
38|1000005|Sambath|66.1|1
39|1000000|Strangwood|69.5|0
40|1000004|Giovanizio|88.0|0
41|1000000|Blundan|21.8|0
42|1000002|Sparway|93.2|0
43|1000000|Elvin|52.9|1
44|1000004|Le Quesne|42.3|0
45|1000003|Hryniewicz|73.8|0
46|1000002|Newick|18.4|0
47|1000004|Keates|14.0|0
48|1000005|Balleine|10.3|0
49|1000005|Pughe|20.7|0
50|1000003|Bucke|12.1|1
51|1000000|MacMorland|47.9|0
52|1000003|Weighell|21.7|0
53|1000005|Mulloch|54.4|0
54|1000004|Folomkin|62.1|1
55|1000001|Barnaby|24.0|0
56|1000003|Hayward|82.4|1
57|1000000|Dentith|50.7|0
58|1000002|Ravilus|15.0|1
59|1000002|Cushworth|78.6|0
60|1000000|Cluley|85.4|0
61|1000001|Attersoll|37.6|1
62|1000000|Filler|89.8|0
63|1000002|Junkinson|36.0|0
64|1000005|Halling|47.6|0
65|1000002|Scamadine|86.9|1
66|1000003|Crone|42.6|0
67|1000002|Thorogood|85.3|1
68|1000003|Astall|52.5|1
69|1000000|Bradie|45.7|1
70|1000003|Kinder|92.6|1
71|1000003|Fergyson|33.2|1
72|1000000|Blackaby|35.0|0
73|1000003|Visco|55.4|0
74|1000002|Klesl|11.1|1
75|1000003|Getley|10.1|1
76|1000001|Byrne|79.2|1
77|1000002|Trineman|18.6|1
78|1000000|Lufkin|91.3|1
79|1000005|Draisey|73.5|1
80|1000000|Dallan|76.0|0
81|1000004|Kruszelnicki|26.8|0
82|1000001|Kettley|10.7|0
83|1000005|Woodruffe|44.2|0
84|1000004|Speachley|54.8|1
85|1000003|MacGinley|95.7|1
86|1000002|Learmont|18.5|0
87|1000004|MacCrachen|36.6|1
88|1000002|Slisby|85.8|0
89|1000002|Bentz|65.5|0
90|1000005|Jasper|94.8|1
91|1000000|Goodison|51.0|1
92|1000003|Blouet|56.6|1
93|1000001|Alp|80.1|1
94|1000001|Rival|64.5|1
95|1000004|Hof|25.6|1
96|1000001|Mehmet|12.1|1
97|1000001|Fedynski|85.2|1
98|1000001|Dudney|70.6|1
99|1000002|Ropkes|83.5|1
100|1000001|Folkard|64.2|1
